FLIGHT NUMBER,DEP,ARR,DATE,TIME,WEEKDAY,PAX TRUE,PAX FALSE,PAX TOTAL
HT3704,TLS,LHR,2025-01-18,19:25,5,197,8,205
HT8601,DUB,LHR,2025-01-18,19:30,5,154,23,177
HT0928,TFN,LPA,2025-01-18,19:55,5,27,43,70
HT9943,SSH,MXP,2025-01-18,20:20,5,392,58,450
HT0922,LPA,TFN,2025-01-18,20:35,5,28,27,55
HT1255,RHO,DUS,2025-01-18,20:40,5,209,4,213
HT1028,LHR,TLS,2025-01-18,21:25,5,125,14,139
HT1385,BCN,TFN,2025-01-18,23:15,5,113,13,126
HT3704,TLS,LHR,2025-01-18,23:30,5,101,27,128
HT0928,TFN,LPA,2025-01-19,05:20,6,67,4,71
HT0922,LPA,TFN,2025-01-19,06:00,6,48,14,62
HT0928,TFN,LPA,2025-01-19,12:00,6,34,32,66
HT3677,TFN,BCN,2025-01-19,12:30,6,69,14,83
HT0922,LPA,TFN,2025-01-19,12:40,6,27,39,66
HT4540,DUS,RHO,2025-01-19,12:55,6,183,7,190
HT8069,MDA,CDG,2025-01-19,14:00,6,268,25,293
HT4125,CDG,MAD,2025-01-19,16:05,6,223,39,262
HT8069,MDA,CDG,2025-01-19,18:10,6,203,10,213
HT0928,TFN,LPA,2025-01-19,19:55,6,37,24,61
HT4125,CDG,MAD,2025-01-19,20:15,6,193,65,258
HT0922,LPA,TFN,2025-01-19,20:35,6,28,28,56
HT1255,RHO,DUS,2025-01-19,20:40,6,115,29,144
HT1385,BCN,TFN,2025-01-19,23:15,6,72,20,92
HT0928,TFN,LPA,2025-01-20,05:20,0,71,0,71
HT0922,LPA,TFN,2025-01-20,06:00,0,54,6,60
HT7636,OPO,FNC,2025-01-20,06:00,0,140,17,157
HT1650,FCO,CAG,2025-01-20,06:15,0,86,3,89
HT1234,LHR,DUB,2025-01-20,07:10,0,151,9,160
HT7614,CAG,FCO,2025-01-20,07:30,0,121,7,128
HT2087,MLA,FCO,2025-01-20,08:20,0,60,0,60
HT8601,DUB,LHR,2025-01-20,09:30,0,96,34,130
HT6578,PRG,MXP,2025-01-20,10:35,0,193,13,206
HT1517,FCO,MLA,2025-01-20,11:00,0,114,8,122
HT0928,TFN,LPA,2025-01-20,12:00,0,28,40,68
HT3245,MXP,PRG,2025-01-20,12:00,0,253,25,278
HT1234,LHR,DUB,2025-01-20,12:10,0,89,54,143
HT1650,FCO,CAG,2025-01-20,12:30,0,68,49,117
HT0922,LPA,TFN,2025-01-20,12:40,0,28,24,52
HT7614,CAG,FCO,2025-01-20,13:45,0,53,67,120
HT8601,DUB,LHR,2025-01-20,14:30,0,74,94,168
HT2087,MLA,FCO,2025-01-20,15:35,0,103,10,113
HT1650,FCO,CAG,2025-01-20,16:45,0,105,10,115
HT1234,LHR,DUB,2025-01-20,17:10,0,97,60,157
HT6578,PRG,MXP,2025-01-20,17:45,0,210,3,213
HT1517,FCO,MLA,2025-01-20,17:55,0,132,0,132
HT7614,CAG,FCO,2025-01-20,18:00,0,128,1,129
HT4447,FNC,OPO,2025-01-20,19:00,0,152,4,156
HT8601,DUB,LHR,2025-01-20,19:30,0,144,21,165
HT0928,TFN,LPA,2025-01-20,19:55,0,28,35,63
HT3245,MXP,PRG,2025-01-20,19:55,0,167,4,171
HT0922,LPA,TFN,2025-01-20,20:35,0,31,29,60
HT0928,TFN,LPA,2025-01-21,05:20,1,71,0,71
HT0922,LPA,TFN,2025-01-21,06:00,1,33,1,34
HT1234,LHR,DUB,2025-01-21,07:10,1,130,46,176
HT8601,DUB,LHR,2025-01-21,09:30,1,108,14,122
HT6578,PRG,MXP,2025-01-21,10:35,1,222,30,252
HT0928,TFN,LPA,2025-01-21,12:00,1,33,23,56
HT3245,MXP,PRG,2025-01-21,12:00,1,247,7,254
HT1234,LHR,DUB,2025-01-21,12:10,1,94,81,175
HT0922,LPA,TFN,2025-01-21,12:40,1,33,38,71
HT8069,MDA,CDG,2025-01-21,14:00,1,135,0,135
HT8601,DUB,LHR,2025-01-21,14:30,1,68,75,143
HT4125,CDG,MAD,2025-01-21,16:05,1,222,30,252
HT1234,LHR,DUB,2025-01-21,17:10,1,80,67,147
HT6578,PRG,MXP,2025-01-21,17:45,1,160,17,177
HT8069,MDA,CDG,2025-01-21,18:10,1,174,6,180
HT8601,DUB,LHR,2025-01-21,19:30,1,105,60,165
HT0928,TFN,LPA,2025-01-21,19:55,1,27,34,61
HT3245,MXP,PRG,2025-01-21,19:55,1,146,110,256
HT4125,CDG,MAD,2025-01-21,20:15,1,257,14,271
HT0922,LPA,TFN,2025-01-21,20:35,1,36,23,59
HT0928,TFN,LPA,2025-01-22,05:20,2,31,36,67
HT0922,LPA,TFN,2025-01-22,06:00,2,70,0,70
HT1650,FCO,CAG,2025-01-22,06:15,2,71,37,108
HT7614,CAG,FCO,2025-01-22,07:30,2,134,1,135
HT7132,MXP,SSH,2025-01-22,07:30,2,400,50,450
HT0928,TFN,LPA,2025-01-22,12:00,2,29,32,61
HT1650,FCO,CAG,2025-01-22,12:30,2,48,63,111
HT0922,LPA,TFN,2025-01-22,12:40,2,28,31,59
HT7614,CAG,FCO,2025-01-22,13:45,2,54,53,107
HT1650,FCO,CAG,2025-01-22,16:45,2,123,7,130
HT7614,CAG,FCO,2025-01-22,18:00,2,101,17,118
HT0928,TFN,LPA,2025-01-22,19:55,2,36,29,65
HT9943,SSH,MXP,2025-01-22,20:20,2,424,26,450
HT0922,LPA,TFN,2025-01-22,20:35,2,33,33,66
HT9072,PMI,RIX,2025-01-23,03:15,3,216,14,230
HT0928,TFN,LPA,2025-01-23,05:20,3,39,30,69
HT0922,LPA,TFN,2025-01-23,06:00,3,60,6,66
HT7636,OPO,FNC,2025-01-23,06:00,3,113,24,137
HT1234,LHR,DUB,2025-01-23,07:10,3,156,20,176
HT8601,DUB,LHR,2025-01-23,09:30,3,119,39,158
HT6578,PRG,MXP,2025-01-23,10:35,3,156,24,180
HT0928,TFN,LPA,2025-01-23,12:00,3,25,21,46
HT3245,MXP,PRG,2025-01-23,12:00,3,225,20,245
HT1234,LHR,DUB,2025-01-23,12:10,3,98,81,179
HT0922,LPA,TFN,2025-01-23,12:40,3,29,35,64
HT8069,MDA,CDG,2025-01-23,14:00,3,183,28,211
HT8601,DUB,LHR,2025-01-23,14:30,3,95,80,175
HT4125,CDG,MAD,2025-01-23,16:05,3,211,14,225
HT1234,LHR,DUB,2025-01-23,17:10,3,105,15,120
HT6578,PRG,MXP,2025-01-23,17:45,3,149,48,197
HT8069,MDA,CDG,2025-01-23,18:10,3,118,52,170
HT1839,RIX,PMI,2025-01-23,18:45,3,208,22,230
HT4447,FNC,OPO,2025-01-23,19:00,3,69,7,76
HT8601,DUB,LHR,2025-01-23,19:30,3,172,1,173
HT0928,TFN,LPA,2025-01-23,19:55,3,29,28,57
HT3245,MXP,PRG,2025-01-23,19:55,3,272,16,288
HT4125,CDG,MAD,2025-01-23,20:15,3,135,44,179
HT0922,LPA,TFN,2025-01-23,20:35,3,36,22,58
HT4505,BUD,KEF,2025-01-24,04:00,4,171,4,175
HT4858,LPL,LCA,2025-01-24,04:30,4,213,46,259
HT0928,TFN,LPA,2025-01-24,05:20,4,43,27,70
HT0922,LPA,TFN,2025-01-24,06:00,4,32,3,35
HT1650,FCO,CAG,2025-01-24,06:15,4,126,1,127
HT1234,LHR,DUB,2025-01-24,07:10,4,108,47,155
HT7614,CAG,FCO,2025-01-24,07:30,4,58,29,87
HT2087,MLA,FCO,2025-01-24,08:20,4,69,4,73
HT8601,DUB,LHR,2025-01-24,09:30,4,119,55,174
HT1517,FCO,MLA,2025-01-24,11:00,4,85,14,99
HT0928,TFN,LPA,2025-01-24,12:00,4,30,22,52
HT1234,LHR,DUB,2025-01-24,12:10,4,96,76,172
HT1650,FCO,CAG,2025-01-24,12:30,4,57,60,117
HT3677,TFN,BCN,2025-01-24,12:30,4,137,8,145
HT0922,LPA,TFN,2025-01-24,12:40,4,30,29,59
HT7614,CAG,FCO,2025-01-24,13:45,4,59,64,123
HT8069,MDA,CDG,2025-01-24,14:00,4,283,16,299
HT8601,DUB,LHR,2025-01-24,14:30,4,68,82,150
HT5089,LCA,LPL,2025-01-24,15:05,4,165,36,201
HT2087,MLA,FCO,2025-01-24,15:35,4,85,43,128
HT4125,CDG,MAD,2025-01-24,16:05,4,117,19,136
HT1650,FCO,CAG,2025-01-24,16:45,4,70,44,114
HT1234,LHR,DUB,2025-01-24,17:10,4,170,8,178
HT5996,KEF,BUD,2025-01-24,17:50,4,170,5,175
HT1517,FCO,MLA,2025-01-24,17:55,4,87,32,119
HT7614,CAG,FCO,2025-01-24,18:00,4,90,10,100
HT8069,MDA,CDG,2025-01-24,18:10,4,166,61,227
HT1028,LHR,TLS,2025-01-24,18:10,4,156,43,199
HT3704,TLS,LHR,2025-01-24,19:25,4,206,1,207
HT8601,DUB,LHR,2025-01-24,19:30,4,92,41,133
HT0928,TFN,LPA,2025-01-24,19:55,4,25,32,57
HT4125,CDG,MAD,2025-01-24,20:15,4,258,24,282
HT0922,LPA,TFN,2025-01-24,20:35,4,32,32,64
HT1028,LHR,TLS,2025-01-24,21:25,4,87,16,103
HT1385,BCN,TFN,2025-01-24,23:15,4,97,11,108
HT3704,TLS,LHR,2025-01-24,23:30,4,131,31,162
HT0928,TFN,LPA,2025-01-25,05:20,5,49,6,55
HT0922,LPA,TFN,2025-01-25,06:00,5,39,6,45
HT1650,FCO,CAG,2025-01-25,06:15,5,97,24,121
HT1234,LHR,DUB,2025-01-25,07:10,5,79,93,172
HT7614,CAG,FCO,2025-01-25,07:30,5,129,5,134
HT7132,MXP,SSH,2025-01-25,07:30,5,367,83,450
HT2087,MLA,FCO,2025-01-25,08:20,5,123,15,138
HT8601,DUB,LHR,2025-01-25,09:30,5,101,63,164
HT1517,FCO,MLA,2025-01-25,11:00,5,107,19,126
HT0928,TFN,LPA,2025-01-25,12:00,5,29,26,55
HT1234,LHR,DUB,2025-01-25,12:10,5,90,87,177
HT1650,FCO,CAG,2025-01-25,12:30,5,72,44,116
HT3677,TFN,BCN,2025-01-25,12:30,5,156,9,165
HT0922,LPA,TFN,2025-01-25,12:40,5,31,38,69
HT4540,DUS,RHO,2025-01-25,12:55,5,214,15,229
HT7614,CAG,FCO,2025-01-25,13:45,5,48,77,125
HT8601,DUB,LHR,2025-01-25,14:30,5,97,66,163
HT2087,MLA,FCO,2025-01-25,15:35,5,76,55,131
HT1650,FCO,CAG,2025-01-25,16:45,5,105,25,130
HT1234,LHR,DUB,2025-01-25,17:10,5,122,4,126
HT1517,FCO,MLA,2025-01-25,17:55,5,55,47,102
HT7614,CAG,FCO,2025-01-25,18:00,5,119,8,127
HT1028,LHR,TLS,2025-01-25,18:10,5,98,50,148
HT3704,TLS,LHR,2025-01-25,19:25,5,197,10,207
HT8601,DUB,LHR,2025-01-25,19:30,5,111,40,151
HT0928,TFN,LPA,2025-01-25,19:55,5,36,28,64
HT9943,SSH,MXP,2025-01-25,20:20,5,414,36,450
HT0922,LPA,TFN,2025-01-25,20:35,5,36,26,62
HT1255,RHO,DUS,2025-01-25,20:40,5,176,27,203
HT1028,LHR,TLS,2025-01-25,21:25,5,161,12,173
HT1385,BCN,TFN,2025-01-25,23:15,5,158,22,180
HT3704,TLS,LHR,2025-01-25,23:30,5,174,24,198
HT0928,TFN,LPA,2025-01-26,05:20,6,62,7,69
HT0922,LPA,TFN,2025-01-26,06:00,6,53,3,56
HT0928,TFN,LPA,2025-01-26,12:00,6,28,38,66
HT3677,TFN,BCN,2025-01-26,12:30,6,79,24,103
HT0922,LPA,TFN,2025-01-26,12:40,6,35,31,66
HT4540,DUS,RHO,2025-01-26,12:55,6,186,19,205
HT8069,MDA,CDG,2025-01-26,14:00,6,194,36,230
HT4125,CDG,MAD,2025-01-26,16:05,6,257,9,266
HT8069,MDA,CDG,2025-01-26,18:10,6,137,124,261
HT0928,TFN,LPA,2025-01-26,19:55,6,27,30,57
HT4125,CDG,MAD,2025-01-26,20:15,6,172,83,255
HT0922,LPA,TFN,2025-01-26,20:35,6,38,23,61
HT1255,RHO,DUS,2025-01-26,20:40,6,108,23,131
HT1385,BCN,TFN,2025-01-26,23:15,6,127,16,143
HT0928,TFN,LPA,2025-01-27,05:20,0,61,0,61
HT0922,LPA,TFN,2025-01-27,06:00,0,33,5,38
HT7636,OPO,FNC,2025-01-27,06:00,0,77,8,85
HT1650,FCO,CAG,2025-01-27,06:15,0,132,1,133
HT1234,LHR,DUB,2025-01-27,07:10,0,122,3,125
HT7614,CAG,FCO,2025-01-27,07:30,0,67,24,91
HT2087,MLA,FCO,2025-01-27,08:20,0,90,17,107
HT8601,DUB,LHR,2025-01-27,09:30,0,155,8,163
HT6578,PRG,MXP,2025-01-27,10:35,0,102,32,134
HT1517,FCO,MLA,2025-01-27,11:00,0,61,12,73
HT0928,TFN,LPA,2025-01-27,12:00,0,37,21,58
HT3245,MXP,PRG,2025-01-27,12:00,0,287,30,317
HT1234,LHR,DUB,2025-01-27,12:10,0,95,55,150
HT1650,FCO,CAG,2025-01-27,12:30,0,49,68,117
HT0922,LPA,TFN,2025-01-27,12:40,0,30,34,64
HT7614,CAG,FCO,2025-01-27,13:45,0,70,42,112
HT8601,DUB,LHR,2025-01-27,14:30,0,86,61,147
HT2087,MLA,FCO,2025-01-27,15:35,0,62,49,111
HT1650,FCO,CAG,2025-01-27,16:45,0,54,40,94
HT1234,LHR,DUB,2025-01-27,17:10,0,100,10,110
HT6578,PRG,MXP,2025-01-27,17:45,0,128,35,163
HT1517,FCO,MLA,2025-01-27,17:55,0,59,13,72
HT7614,CAG,FCO,2025-01-27,18:00,0,126,6,132
HT4447,FNC,OPO,2025-01-27,19:00,0,72,7,79
HT8601,DUB,LHR,2025-01-27,19:30,0,162,5,167
HT0928,TFN,LPA,2025-01-27,19:55,0,38,25,63
HT3245,MXP,PRG,2025-01-27,19:55,0,276,11,287
HT0922,LPA,TFN,2025-01-27,20:35,0,36,27,63
HT0928,TFN,LPA,2025-01-28,05:20,1,41,23,64
HT0922,LPA,TFN,2025-01-28,06:00,1,44,10,54
HT1234,LHR,DUB,2025-01-28,07:10,1,78,90,168
HT8601,DUB,LHR,2025-01-28,09:30,1,102,74,176
HT6578,PRG,MXP,2025-01-28,10:35,1,119,6,125
HT0928,TFN,LPA,2025-01-28,12:00,1,35,30,65
HT3245,MXP,PRG,2025-01-28,12:00,1,259,7,266
HT1234,LHR,DUB,2025-01-28,12:10,1,94,67,161
HT0922,LPA,TFN,2025-01-28,12:40,1,25,23,48
HT8069,MDA,CDG,2025-01-28,14:00,1,158,29,187
HT8601,DUB,LHR,2025-01-28,14:30,1,90,67,157
HT4125,CDG,MAD,2025-01-28,16:05,1,205,41,246
HT1234,LHR,DUB,2025-01-28,17:10,1,108,28,136
HT6578,PRG,MXP,2025-01-28,17:45,1,211,6,217
HT8069,MDA,CDG,2025-01-28,18:10,1,219,43,262
HT8601,DUB,LHR,2025-01-28,19:30,1,177,2,179
HT0928,TFN,LPA,2025-01-28,19:55,1,33,30,63
HT3245,MXP,PRG,2025-01-28,19:55,1,196,16,212
HT4125,CDG,MAD,2025-01-28,20:15,1,147,98,245
HT0922,LPA,TFN,2025-01-28,20:35,1,28,23,51
HT0928,TFN,LPA,2025-01-29,05:20,2,40,23,63
HT0922,LPA,TFN,2025-01-29,06:00,2,66,2,68
HT1650,FCO,CAG,2025-01-29,06:15,2,108,7,115
HT7614,CAG,FCO,2025-01-29,07:30,2,64,55,119
HT7132,MXP,SSH,2025-01-29,07:30,2,424,26,450
HT0928,TFN,LPA,2025-01-29,12:00,2,28,26,54
HT1650,FCO,CAG,2025-01-29,12:30,2,61,68,129
HT0922,LPA,TFN,2025-01-29,12:40,2,32,32,64
HT7614,CAG,FCO,2025-01-29,13:45,2,64,53,117
HT1650,FCO,CAG,2025-01-29,16:45,2,77,15,92
HT7614,CAG,FCO,2025-01-29,18:00,2,100,28,128
HT0928,TFN,LPA,2025-01-29,19:55,2,29,37,66
HT9943,SSH,MXP,2025-01-29,20:20,2,414,36,450
HT0922,LPA,TFN,2025-01-29,20:35,2,37,23,60
HT9072,PMI,RIX,2025-01-30,03:15,3,228,2,230
HT0928,TFN,LPA,2025-01-30,05:20,3,50,16,66
HT0922,LPA,TFN,2025-01-30,06:00,3,62,7,69
HT7636,OPO,FNC,2025-01-30,06:00,3,166,23,189
HT1234,LHR,DUB,2025-01-30,07:10,3,171,0,171
HT8601,DUB,LHR,2025-01-30,09:30,3,127,30,157
HT6578,PRG,MXP,2025-01-30,10:35,3,180,3,183
HT0928,TFN,LPA,2025-01-30,12:00,3,29,21,50
HT3245,MXP,PRG,2025-01-30,12:00,3,264,17,281
HT1234,LHR,DUB,2025-01-30,12:10,3,71,108,179
HT0922,LPA,TFN,2025-01-30,12:40,3,38,28,66
HT8069,MDA,CDG,2025-01-30,14:00,3,182,41,223
HT8601,DUB,LHR,2025-01-30,14:30,3,84,55,139
HT4125,CDG,MAD,2025-01-30,16:05,3,144,34,178
HT1234,LHR,DUB,2025-01-30,17:10,3,139,12,151
HT6578,PRG,MXP,2025-01-30,17:45,3,108,25,133
HT8069,MDA,CDG,2025-01-30,18:10,3,263,11,274
HT1839,RIX,PMI,2025-01-30,18:45,3,229,1,230
HT4447,FNC,OPO,2025-01-30,19:00,3,120,2,122
HT8601,DUB,LHR,2025-01-30,19:30,3,124,43,167
HT0928,TFN,LPA,2025-01-30,19:55,3,34,25,59
HT3245,MXP,PRG,2025-01-30,19:55,3,224,14,238
HT4125,CDG,MAD,2025-01-30,20:15,3,227,24,251
HT0922,LPA,TFN,2025-01-30,20:35,3,25,34,59
HT4505,BUD,KEF,2025-01-31,04:00,4,145,30,175
HT4858,LPL,LCA,2025-01-31,04:30,4,300,21,321
HT0928,TFN,LPA,2025-01-31,05:20,4,53,13,66
HT0922,LPA,TFN,2025-01-31,06:00,4,58,8,66
HT1650,FCO,CAG,2025-01-31,06:15,4,100,7,107
HT1234,LHR,DUB,2025-01-31,07:10,4,102,77,179
HT7614,CAG,FCO,2025-01-31,07:30,4,80,2,82
HT2087,MLA,FCO,2025-01-31,08:20,4,57,13,70
HT8601,DUB,LHR,2025-01-31,09:30,4,143,15,158
HT1517,FCO,MLA,2025-01-31,11:00,4,59,2,61
HT0928,TFN,LPA,2025-01-31,12:00,4,35,27,62
HT1234,LHR,DUB,2025-01-31,12:10,4,83,62,145
HT1650,FCO,CAG,2025-01-31,12:30,4,62,57,119
HT3677,TFN,BCN,2025-01-31,12:30,4,140,0,140
HT0922,LPA,TFN,2025-01-31,12:40,4,34,37,71
HT7614,CAG,FCO,2025-01-31,13:45,4,58,62,120
HT8069,MDA,CDG,2025-01-31,14:00,4,124,21,145
HT8601,DUB,LHR,2025-01-31,14:30,4,88,85,173
HT5089,LCA,LPL,2025-01-31,15:05,4,376,39,415
HT2087,MLA,FCO,2025-01-31,15:35,4,101,6,107
HT4125,CDG,MAD,2025-01-31,16:05,4,251,0,251
HT1650,FCO,CAG,2025-01-31,16:45,4,101,28,129
HT1234,LHR,DUB,2025-01-31,17:10,4,121,33,154
HT5996,KEF,BUD,2025-01-31,17:50,4,168,7,175
HT1517,FCO,MLA,2025-01-31,17:55,4,129,1,130
HT7614,CAG,FCO,2025-01-31,18:00,4,94,4,98
HT8069,MDA,CDG,2025-01-31,18:10,4,120,10,130
HT1028,LHR,TLS,2025-01-31,18:10,4,117,9,126
HT3704,TLS,LHR,2025-01-31,19:25,4,122,11,133
HT8601,DUB,LHR,2025-01-31,19:30,4,130,31,161
HT0928,TFN,LPA,2025-01-31,19:55,4,35,36,71
HT4125,CDG,MAD,2025-01-31,20:15,4,175,51,226
HT0922,LPA,TFN,2025-01-31,20:35,4,28,29,57
HT1028,LHR,TLS,2025-01-31,21:25,4,128,7,135
HT1385,BCN,TFN,2025-01-31,23:15,4,86,4,90
HT3704,TLS,LHR,2025-01-31,23:30,4,103,15,118
HT0928,TFN,LPA,2025-02-01,05:20,5,58,13,71
HT0922,LPA,TFN,2025-02-01,06:00,5,39,18,57
HT1650,FCO,CAG,2025-02-01,06:15,5,64,58,122
HT1234,LHR,DUB,2025-02-01,07:10,5,157,3,160
HT7614,CAG,FCO,2025-02-01,07:30,5,124,11,135
HT7132,MXP,SSH,2025-02-01,07:30,5,416,34,450
HT2087,MLA,FCO,2025-02-01,08:20,5,55,18,73
HT8601,DUB,LHR,2025-02-01,09:30,5,89,12,101
HT1517,FCO,MLA,2025-02-01,11:00,5,62,9,71
HT0928,TFN,LPA,2025-02-01,12:00,5,32,27,59
HT1234,LHR,DUB,2025-02-01,12:10,5,94,63,157
HT1650,FCO,CAG,2025-02-01,12:30,5,65,44,109
HT3677,TFN,BCN,2025-02-01,12:30,5,165,21,186
HT0922,LPA,TFN,2025-02-01,12:40,5,30,40,70
HT4540,DUS,RHO,2025-02-01,12:55,5,89,20,109
HT7614,CAG,FCO,2025-02-01,13:45,5,56,53,109
HT8601,DUB,LHR,2025-02-01,14:30,5,78,62,140
HT2087,MLA,FCO,2025-02-01,15:35,5,128,3,131
HT1650,FCO,CAG,2025-02-01,16:45,5,117,6,123
HT1234,LHR,DUB,2025-02-01,17:10,5,166,0,166
HT1517,FCO,MLA,2025-02-01,17:55,5,132,0,132
HT7614,CAG,FCO,2025-02-01,18:00,5,57,16,73
HT1028,LHR,TLS,2025-02-01,18:10,5,179,19,198
HT3704,TLS,LHR,2025-02-01,19:25,5,131,27,158
HT8601,DUB,LHR,2025-02-01,19:30,5,110,48,158
HT0928,TFN,LPA,2025-02-01,19:55,5,34,33,67
HT9943,SSH,MXP,2025-02-01,20:20,5,424,26,450
HT0922,LPA,TFN,2025-02-01,20:35,5,37,22,59
HT1255,RHO,DUS,2025-02-01,20:40,5,102,14,116
HT1028,LHR,TLS,2025-02-01,21:25,5,91,15,106
HT1385,BCN,TFN,2025-02-01,23:15,5,117,4,121
HT3704,TLS,LHR,2025-02-01,23:30,5,167,11,178
HT0928,TFN,LPA,2025-02-02,05:20,6,63,6,69
HT0922,LPA,TFN,2025-02-02,06:00,6,56,15,71
HT0928,TFN,LPA,2025-02-02,12:00,6,31,31,62
HT3677,TFN,BCN,2025-02-02,12:30,6,135,7,142
HT0922,LPA,TFN,2025-02-02,12:40,6,34,30,64
HT4540,DUS,RHO,2025-02-02,12:55,6,180,28,208
HT8069,MDA,CDG,2025-02-02,14:00,6,118,13,131
HT4125,CDG,MAD,2025-02-02,16:05,6,263,41,304
HT8069,MDA,CDG,2025-02-02,18:10,6,239,43,282
HT0928,TFN,LPA,2025-02-02,19:55,6,38,24,62
HT4125,CDG,MAD,2025-02-02,20:15,6,192,75,267
HT0922,LPA,TFN,2025-02-02,20:35,6,35,23,58
HT1255,RHO,DUS,2025-02-02,20:40,6,93,6,99
HT1385,BCN,TFN,2025-02-02,23:15,6,77,11,88
HT0928,TFN,LPA,2025-02-03,05:20,0,29,29,58
HT0922,LPA,TFN,2025-02-03,06:00,0,51,9,60
HT7636,OPO,FNC,2025-02-03,06:00,0,89,16,105
HT1650,FCO,CAG,2025-02-03,06:15,0,115,17,132
HT1234,LHR,DUB,2025-02-03,07:10,0,140,15,155
HT7614,CAG,FCO,2025-02-03,07:30,0,85,16,101
HT2087,MLA,FCO,2025-02-03,08:20,0,89,12,101
HT8601,DUB,LHR,2025-02-03,09:30,0,169,4,173
HT6578,PRG,MXP,2025-02-03,10:35,0,197,22,219
HT1517,FCO,MLA,2025-02-03,11:00,0,54,12,66
HT0928,TFN,LPA,2025-02-03,12:00,0,28,24,52
HT3245,MXP,PRG,2025-02-03,12:00,0,236,39,275
HT1234,LHR,DUB,2025-02-03,12:10,0,74,60,134
HT1650,FCO,CAG,2025-02-03,12:30,0,61,64,125
HT0922,LPA,TFN,2025-02-03,12:40,0,26,21,47
HT7614,CAG,FCO,2025-02-03,13:45,0,67,48,115
HT8601,DUB,LHR,2025-02-03,14:30,0,93,61,154
HT2087,MLA,FCO,2025-02-03,15:35,0,69,22,91
HT1650,FCO,CAG,2025-02-03,16:45,0,76,46,122
HT1234,LHR,DUB,2025-02-03,17:10,0,108,45,153
HT6578,PRG,MXP,2025-02-03,17:45,0,153,6,159
HT1517,FCO,MLA,2025-02-03,17:55,0,89,3,92
HT7614,CAG,FCO,2025-02-03,18:00,0,71,7,78
HT4447,FNC,OPO,2025-02-03,19:00,0,95,4,99
HT8601,DUB,LHR,2025-02-03,19:30,0,74,47,121
HT0928,TFN,LPA,2025-02-03,19:55,0,33,29,62
HT3245,MXP,PRG,2025-02-03,19:55,0,285,3,288
HT0922,LPA,TFN,2025-02-03,20:35,0,37,26,63
HT0928,TFN,LPA,2025-02-04,05:20,1,55,10,65
HT0922,LPA,TFN,2025-02-04,06:00,1,61,4,65
HT1234,LHR,DUB,2025-02-04,07:10,1,109,69,178
HT8601,DUB,LHR,2025-02-04,09:30,1,97,53,150
HT6578,PRG,MXP,2025-02-04,10:35,1,168,13,181
HT0928,TFN,LPA,2025-02-04,12:00,1,36,23,59
HT3245,MXP,PRG,2025-02-04,12:00,1,269,1,270
HT1234,LHR,DUB,2025-02-04,12:10,1,64,99,163
HT0922,LPA,TFN,2025-02-04,12:40,1,32,23,55
HT8069,MDA,CDG,2025-02-04,14:00,1,262,42,304
HT8601,DUB,LHR,2025-02-04,14:30,1,79,86,165
HT4125,CDG,MAD,2025-02-04,16:05,1,191,28,219
HT1234,LHR,DUB,2025-02-04,17:10,1,106,68,174
HT6578,PRG,MXP,2025-02-04,17:45,1,191,6,197
HT8069,MDA,CDG,2025-02-04,18:10,1,148,35,183
HT8601,DUB,LHR,2025-02-04,19:30,1,167,0,167
HT0928,TFN,LPA,2025-02-04,19:55,1,38,23,61
HT3245,MXP,PRG,2025-02-04,19:55,1,144,16,160
HT4125,CDG,MAD,2025-02-04,20:15,1,153,3,156
HT0922,LPA,TFN,2025-02-04,20:35,1,31,35,66
HT0928,TFN,LPA,2025-02-05,05:20,2,45,5,50
HT0922,LPA,TFN,2025-02-05,06:00,2,34,3,37
HT1650,FCO,CAG,2025-02-05,06:15,2,123,5,128
HT7614,CAG,FCO,2025-02-05,07:30,2,68,15,83
HT7132,MXP,SSH,2025-02-05,07:30,2,426,24,450
HT0928,TFN,LPA,2025-02-05,12:00,2,34,25,59
HT1650,FCO,CAG,2025-02-05,12:30,2,49,79,128
HT0922,LPA,TFN,2025-02-05,12:40,2,25,21,46
HT7614,CAG,FCO,2025-02-05,13:45,2,53,41,94
HT1650,FCO,CAG,2025-02-05,16:45,2,72,24,96
HT7614,CAG,FCO,2025-02-05,18:00,2,112,17,129
HT0928,TFN,LPA,2025-02-05,19:55,2,30,37,67
HT9943,SSH,MXP,2025-02-05,20:20,2,362,88,450
HT0922,LPA,TFN,2025-02-05,20:35,2,38,23,61
HT9072,PMI,RIX,2025-02-06,03:15,3,222,8,230
HT0928,TFN,LPA,2025-02-06,05:20,3,41,4,45
HT0922,LPA,TFN,2025-02-06,06:00,3,66,5,71
HT7636,OPO,FNC,2025-02-06,06:00,3,136,2,138
HT1234,LHR,DUB,2025-02-06,07:10,3,153,11,164
HT8601,DUB,LHR,2025-02-06,09:30,3,177,1,178
HT6578,PRG,MXP,2025-02-06,10:35,3,113,15,128
HT0928,TFN,LPA,2025-02-06,12:00,3,38,29,67
HT3245,MXP,PRG,2025-02-06,12:00,3,279,35,314
HT1234,LHR,DUB,2025-02-06,12:10,3,83,86,169
HT0922,LPA,TFN,2025-02-06,12:40,3,30,36,66
HT8069,MDA,CDG,2025-02-06,14:00,3,278,38,316
HT8601,DUB,LHR,2025-02-06,14:30,3,77,77,154
HT4125,CDG,MAD,2025-02-06,16:05,3,227,24,251
